,titleleft,authors,isbn13left,synopsis
338,THE LION AND THE MOUSE,"['Pinkney, Jerry']",9780316013567,"<p><p>in Award-winning Artist Jerry Pinkney's Wordless Adaptation Of One Of Aesop's Most Beloved Fables, An Unlikely Pair Learn That No Act Of Kindness Is Ever Wasted. After A Ferocious Lion Spares A Cowering Mouse That He'd Planned To Eat, The Mouse Later Comes To His Rescue, Freeing Him From A Poacher's Trap. With Vivid Depictions Of The Landscape Of The African Serengeti And Expressively-drawn Characters, Pinkney Makes This A Truly Special Retelling, And His Stunning Pictures Speak Volumes.</p><h3>the Barnes & Noble Review</h3><p>the Award-winning Illustrator Jerry Pinkney Exceeds All Expectations With This Almost Wordless Retelling Of Aesop's Fable About A Mouse Who Repays A Lion's Mercy By Gnawing The Fibers Of A Snare That Entraps Him. Pinkney Sets This Timeless Tale In The African Serengeti, Populating The Pages With The Flora And Fauna Of The Region. This Unique Ecosystem -- Joining Marshland With Plains -- Seem To Glow With Gold And Green, For Pinkney's Watercolors Are Infused With Translucent Light. His Extensive Research Into The Serengeti Is Apparent Without Being Overwhelming, Bringing To Life Details From Tiny Ants To A Camouflaged Amphibians Resting In The Native Grasses. A Panorama Of African Animals -- Lion Lounging Front And Center -- Immediately Set The Scene In The Front Endpapers, While The Title Page Displays The Other Featured Player, The Mouse, Whose Miniscule Size Is Emphasized As It Perches In The Dried Mud Of The Lion's Paw Print. Pinkney's Page-turns Have A Cinematic Quality: We First View The Landscape From Behind The Mouse From Her Point-of-view, Low To The Ground As The Sun Rises On The Plains. Frightened By A Hunting Owl, She Leaps Beyond The Frame Into Further Danger, Disturbing The Lion At Rest. The Only Words That Interrupt This Purely Visual Storytelling Are Hand-lettered Animal Sounds So That The Readers Can Squeak, Shriek And Roar Along With The Animals. The Result Should Delight All Ages -- Even The Youngest Can Glean That The Tiniest Among Us Can Be Of Service, That No Act Of Kindness Is Wasted And That Small Acts Have Large Repercussions. An Exquisite Detail That Should Not Be Missed: If One Peeks Behind The Dust Jacket There A Bonus Painting On The Back Cover -- An Homage To Edward Hicks's Peaceable Kingdom Recast With The Animals Of The Serengeti. --<i>lisa Von Drasek</i></p>"
339,PERCY JACKSON & THE OLYMPIANS,"['Riordan, Rick']",9781423119500,"The Complete Percy Jackson & The Olympians Series In Hardcover, Packaged In A Gorgeous, Reclosable “steamer Trunk” Fit For Demigods. This Perfect Gift For Percy Fans Boasts A Hidden Compartment Containing An Exclusive Camp Half-blood Map And Stickers."
340,THE TWILIGHT SAGA,['Stephenie Meyer'],9780316027656,"<p><P>The #1 <i>New York Times</i> bestseller is available for the first time in a mass market paperback edition, featuring a striking movie tie-in cover. <P>Readers captivated by <b>Twilight</b> and <b>New Moon</b> will eagerly devour the paperback edition <b>Eclipse</b>, the third book in Stephenie Meyer's riveting vampire love saga. As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob &#151;- knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella has one more decision to make&#58; life or death. But which is which?</p><h3>Publishers Weekly</h3><p><P>The legions of readers who are hooked on the romantic struggles of Bella and the vampire Edward will ecstatically devour this third installment of the story begun in <I>Twilight, </I>but it's unlikely to win over any newcomers. Jake, the werewolf met in <I>New Moon</I>, pursues Bella with renewed vigilance. However, when repercussions from an episode in <I>Twilight</I>place Bella in the mortal danger that series fans have come to expect, Jake and Edward forge an uneasy alliance. The plot patterns have begun to show here, but Meyer's other strengths remain intact. The supernatural elements accentuate the ordinary human dramas of growing up. Jake and Edward's competition for Bella feels particularly authentic, especially in their apparent desire to best each other as much as to win Bella. Once again the author presents teenage love as an almost inhuman force: ""[He] would have been my soul mate still,"" says Bella, ""if his claim had not been overshadowed by something stronger, something so strong that it could not exist in a rational world."" According to Meyer, the fourth book should tie up at least the Edward story, if not the whole shebang. Ages 12-up<I>. (Aug.)</I></P>Copyright 2007 Reed Business Information</p>"
341,DIARY OF A WIMPY KID,"['Kinney, Jeff']",9780810993136,"Greg Records His Sixth Grade Experiences In A Middle School Where He And His Best Friend, Rowley, Undersized Weaklings Amid Boys Who Need To Shave Twice Daily, Hope Just To Survive, But When Rowley Grows More Popular, Greg Must Take Drastic Measures To Save Their Friendship. By Jeff Kinney. A Junior Library Guild Selection"
342,HOUSE OF NIGHT,"['Cast, P. C.', 'Cast, Kristin']",9780312567484,"Zoey Redbird, High Priestess-in-training, Finds Herself Juggling Three Guys--one Of Which Is So Into Protecting Her That He Can Sense Her Emotions. Meanwhile The Dark Force Lurking In The Tunnels Under The Tulsa Depot Is Spreading, And Only Zoey Has The Power To Stop The Evil Immortal Kalona Who Is Behind It. Will Zoey Have The Courage To Chance Losing Her Life, Her Heart, And Her Soul? P.c. Cast And Kristin Cast."
343,MAGIC TREE HOUSE,"['Osborne, Mary Pope']",9780375856501,Jack And Annie Travel Back To Nineteenth-century Ireland To Inspire A Young Augusta Gregory To Share Her Love Of Irish Legends And Folktales With The World.
345,THE LOVELY BONES,"['Sebold, Alice']",9780316168816,"This Is The Tale Of Family, Memory, Love, And Living Told By 14-year-old Susie Salmon, Who Is Already In Heaven. Through The Voice Of A Precocious Teenage Girl, Susie Relates The Awful Events Of Her Death And Builds Out Of Her Family's Grief A Hopeful And Joyful Story. The Lovely Bones -- Reading Group Guide -- Excerpt From The Almost Moon. Alice Sebold. Originally Published: Boston : Little, Brown, C2002. With New Reading Group Guide."
346,THE GIRL WITH THE DRAGON TATTOO,['Stieg Larsson'],9780307454546,"<p><b>a Spellbinding Amalgam Of Murder Mystery, Family Saga, <br>love Story, And Financial Intrigue.<br><br></b>it S About The Disappearance Forty Years Ago Of Harriet Vanger, A Young Scion Of One Of The Wealthiest Families In Sweden . . . And About Her Octogenarian Uncle, Determined To Know The Truth About What He Believes Was Her Murder. <br><br>it S About Mikael Blomkvist, A Crusading Journalist Recently At The Wrong End Of A Libel Case, Hired To Get To The Bottom Of Harriet S Disappearance . . . And About Lisbeth Salander, A Twenty-four-year-old Pierced And Tattooed Genius Hacker Possessed Of The Hard-earned Wisdom Of Someone Twice Her Age Who Assists Blomkvist With The Investigation. This Unlikely Team Discovers A Vein Of Nearly Unfathomable Iniquity Running Through The Vanger Family, Astonishing Corruption In The Highest Echelons Of Swedish Industrialism, And An Unexpected Connection Between Themselves.<br><br>contagiously Exciting, It S About Society At...</p><h3>the Barnes & Noble Review</h3><p>stieg Larsson's First Murder Mystery Has Been A Smash Hit Throughout Europe Since Its 2005 Publication In The Author's Native Sweden, And Has Now Become A Bestseller In The U.s. As Well. But The Bitter Twist In Larsson's Success Story Is That He Didn't Live To See <em>the Girl With The Dragon Tattoo</em> Published: He Died Of A Heart Attack Just After He Delivered The Manuscripts For This Book And The Two That Follow. When The Most Shocking Corpse In The Drawing Room Turns Out To Be The 50-year-old Author's, The Thrills Of Crime Fiction Can Take A Melancholy Turn. But Let's Try, For The Moment, To Evaluate Larsson's Novel Apart From Its Ill-fated Provenance. What Is It That's Generating So Much Enthusiasm From A Gobsmacked International Audience?</p>"
347,DEAR JOHN,"['Sparks, Nicholas']",9780446567329,"<p><P>An angry rebel, John dropped out of school and enlisted in the Army, not knowing what else to do with his life&#151;until he meets the girl of his dreams, Savannah. Their mutual attraction quickly grows into the kind of love that leaves Savannah waiting for John to finish his tour of duty, and John wanting to settle down with the woman who captured his heart. But 9/11 changes everything. John feels it is his duty to re-enlist. And sadly, the long separation finds Savannah falling in love with someone else. ""Dear John,"" the letter read...and with those two words, a heart was broken and two lives were changed forever. Returning home, John must come to grips with the fact that Savannah, now married, is still his true love&#151;and face the hardest decision of his life.</p><h3>The Washington Post - Margaux Wexberg Sanchez</h3><p>It isn't hard to picture John Tyree. We can simply imagine his predecessors, men in uniform staring pensively from earlier wartime romances. Apart from the occasional detail&#151;e-mail, cellphone, Outback Steakhouse&#151;<i>Dear John</i> could take place in any modern American era. For Sparks, weighty matters of the day remain set pieces, furniture upon which to hang timeless tales of chaste longing and harsh fate. Only in a novel such as this could we find our political buzzwords&#151;peacekeeping, IEDs, hurricane relief&#151;interspersed with these sentiments: ""And when her lips met mine, I knew that I could live to be a hundred and visit every country in the world, but nothing would ever compare to that single moment when I first kissed the girl of my dreams and knew that my love would last forever.""</p>"
348,TRUE COLORS,"['Hannah, Kristin']",9780312606121,"<p><p><b>women Across America Laughed, Cried, And Reconnected With Their Friends After Reading Kristin Hannah&#8217;s Smash Hit, Firefly Lane. Now, In True Colors, She Explores The Poignant, Powerful, Complex World Of Sisters&#8230; <p></b>the Grey Sisters Had Only Each Other When Their Mother Died Years Ago. Their Stern, Unyielding Father Gave Them Almost No Attention. Winona, The Oldest, Needs Her Father&#8217;s Approval Most Of All. An Overweight Dreamer, She Never Felt At Home On The Sprawling Horse Ranch That Had Been In Her Family For Three Generations. Aurora, The Middle, Is The Peacemaker. Vivi Ann, The Youngest, Is The Undisputed Star Of The Family. Everything Comes Easily To Vivi Ann, Her Father&#8217;s Love Most Of All. But When Vivi Ann Makes A Fateful Decision To Follow Her Heart, Rather Than Take The Route Of A Dutiful Daughter, Events Are Set In Motion That Will Test The Love And Loyalties Of The Grey Sisters. They Will Be Pitted Against Each Other In Ways None Could Have Imagined. Secrets Will Be Revealed, And A Terrible, Shocking Crime Will Shatter Both The Family And Their Beloved Town. With Breathtaking Pace And Penetrating Insight, Kristin Hannah&#8217;s <i>true Colors </i>is A Novel About Sisters, Vengeance, Jealousy, Betrayal&#8212;and Ultimately, What It Truly Means To Be A Family.</p><h3>publishers Weekly</h3><p><p>in Her 17th Novel, Bestseller Hannah Portrays The Delicate And Enduring Bonds Of Sisterhood. The Story Of The Grey Sisters Is Set In A Small Washington Town And Follows Winona, Aurora And Vivi Ann From The Time Of Their Mother's Death, When They Are Young Teens In 1979, On Through Adulthood, Cataloguing Their Trials And The Men Who Typically Come Bearing Them, Beginning With Luke, Winona's High School Best Friend And Secret Crush. But When He Falls In Love With Vivi Ann, Who Later Cheats On Him With Farmhand Dallas, It Leads A Jealous Winona To Betray Her Sister. Vivi Ann And Dallas Get Married, Have A Baby And Run The Grey Family Farm, But Dallas Is Eventually Arrested For Murder, And Lawyer Winona Refuses To Take His Case, Seemingly Killing Her Relationship With Vivi Ann. Dallas Is Convicted And Things Look Bleak For Vivi Ann And Her Son, But Winona's Late-breaking Friendship With Her Nephew Paves The Way For The Happy Ending. Though Hannah Boldly Embraces Over-the-top Drama, She Really Knows What Women-her Characters And Her Audience-want. <i>(feb.)</i></p>copyright &copy; Reed Business Information, A Division Of Reed Elsevier Inc. All Rights Reserved.</p>"
